Key,schinese,tchinese
modscopeSwampFoxPrism,[09FF00]SwampFox Trihawk Prism 3x30瞄准镜[-],[09FF00]SwampFox Trihawk Prism 3x30瞄準鏡[-]
modscopeSwampFoxPrismDesc,重量：[4FBE28]0.436kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.436kg[-]\n\n相容性：適用於大多數槍械
modscopeeotechhhshybrid,[004CFF]EOTech HHS Hybrid混合瞄准镜[-],[004CFF]EOTech HHS Hybrid混合瞄準鏡[-]
modscopeeotechhhshybridDesc,重量：[4FBE28]0.635kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.635kg[-]\n\n相容性：適用於大多數槍械
modscopeacogta01NSN4x32,[004CFF]Trijicon ACOG TA01NSN 4x32瞄准镜[-],[004CFF]Trijicon ACOG TA01NSN 4x32瞄準鏡[-]
modscopeacogta01NSN4x32Desc,重量：[4FBE28]0.506kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.506kg[-]\n\n相容性：適用於大多數槍械
modscopeacogta11D35x,[004CFF]Trijicon ACOG TA11D 3.5x35瞄准镜[-],[004CFF]Trijicon ACOG TA11D 3.5x35瞄準鏡[-]
modscopeacogta11D35xDesc,重量：[4FBE28]0.506kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.506kg[-]\n\n相容性：適用於大多數槍械
modscopeLeupoldMark4Hamr,[004CFF]Leupold Mark 4 HAMR 4x24混合瞄准镜[-],[004CFF]Leupold Mark 4 HAMR 4x24混合瞄準鏡[-]
modscopeLeupoldMark4HamrDesc,重量：[4FBE28]0.411kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.411kg[-]\n\n相容性：適用於大多數槍械
modscopeSIGBravo4,[004CFF]SIG Sauer BRAVO4 4x30瞄准镜[-],[004CFF]SIG Sauer BRAVO4 4x30瞄準鏡[-]
modscopeSIGBravo4Desc,重量：[4FBE28]0.419kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.419kg[-]\n\n相容性：適用於大多數槍械
modscopeValdayPS320,[004CFF]Valday PS-320 1/6倍瞄准镜[-],[004CFF]Valday PS-320 1/6倍瞄準鏡[-]
modscopeValdayPS320Desc,重量：[4FBE28]0.570kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.570kg[-]\n\n相容性：適用於大多數槍械
modscopeSBPMII18x2430mm,[004CFF]Schmidt & Bender PM II 1-8x24瞄准镜[-],[004CFF]Schmidt & Bender PM II 1-8x24瞄準鏡[-]
modscopeSBPMII18x2430mmDesc,重量：[4FBE28]1.139kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]1.139kg[-]\n\n相容性：適用於大多數槍械
modscopeSBPMII320x5034mm,[004CFF]Schmid & Bender PM II 3-20x50瞄准镜[-],[004CFF]Schmid & Bender PM II 3-20x50瞄準鏡[-]
modscopeSBPMII320x5034mmDesc,重量：[4FBE28]1.240kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]1.240kg[-]\n\n相容性：適用於大多數槍械
modscopeSBPMII525x5634mm,[004CFF]Schmidt & Bender PM II 5-25x56瞄准镜[-],[004CFF]Schmidt & Bender PM II 5-25x56瞄準鏡[-]
modscopeSBPMII525x5634mmDesc,重量：[4FBE28]1.420kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]1.420kg[-]\n\n相容性：適用於大多數槍械
modscopeBFTac3014x2430mm,[004CFF]Burris Fullfield TAC30 1-4x24瞄准镜[-],[004CFF]Burris Fullfield TAC30 1-4x24瞄準鏡[-]
modscopeBFTac3014x2430mmDesc,重量：[4FBE28]0.726kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.726kg[-]\n\n相容性：適用於大多數槍械
modscopeEOTVudu16x2430mm,[004CFF]EOTech Vudu 1-6x24瞄准镜[-],[004CFF]EOTech Vudu 1-6x24瞄準鏡[-]
modscopeEOTVudu16x2430mmDesc,重量：[4FBE28]0.816kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.816kg[-]\n\n相容性：適用於大多數槍械
modscopeLeupoldMark4LR30mm,[004CFF]Leupold Mark4 LR 6.5-20x50瞄准镜[-],[004CFF]Leupold Mark4 LR 6.5-20x50瞄準鏡[-]
modscopeLeupoldMark4LR30mmDesc,重量：[4FBE28]0.870kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.870kg[-]\n\n相容性：適用於大多數槍械
modscopeMarchTactical30mm,[004CFF]March Tactical 3-24x42瞄准镜[-],[004CFF]March Tactical 3-24x42瞄準鏡[-]
modscopeMarchTactical30mmDesc,重量：[4FBE28]0.890kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.890kg[-]\n\n相容性：適用於大多數槍械
modscopeSIGTango6T16x2430mm,[004CFF]SIG Sauer TANGO6T 1-6x24瞄准镜[-],[004CFF]SIG Sauer TANGO6T 1-6x24瞄準鏡[-]
modscopeSIGTango6T16x2430mmDesc,重量：[4FBE28]0.876kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.876kg[-]\n\n相容性：適用於大多數槍械
modscopeRazorHDGen216x2430mm,[004CFF]Vortex Razor HD Gen.2 1-6x24瞄准镜[-],[004CFF]Vortex Razor HD Gen.2 1-6x24瞄準鏡[-]
modscopeRazorHDGen216x2430mmDesc,重量：[4FBE28]0.820kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.820kg[-]\n\n相容性：適用於大多數槍械
modscopeNFATACR735x5634mm,[004CFF]Nightforce ATACR 7-35x56瞄准镜[-],[004CFF]Nightforce ATACR 7-35x56瞄準鏡[-]
modscopeNFATACR735x5634mmDesc,重量：[4FBE28]1.363kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]1.363kg[-]\n\n相容性：適用於大多數槍械
modscopeHensoldtFF416x5634mm,[004CFF]Hensoldt FF 4-16x56瞄准镜[-],[004CFF]Hensoldt FF 4-16x56瞄準鏡[-]
modscopeHensoldtFF416x5634mmDesc,重量：[4FBE28]1.150kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]1.150kg[-]\n\n相容性：適用於大多數槍械
modscopeNCStarADO,[004CFF]NcSTAR ADO P4 3-9x42混合瞄准镜[-],[004CFF]NcSTAR ADO P4 3-9x42混合瞄準鏡[-]
modscopeNCStarADODesc,重量：[4FBE28]0.595kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.595kg[-]\n\n相容性：適用於大多數槍械
modscopeKMZ1p69Weaver,[004CFF]KMZ 1P69 3-10倍瞄准镜(Weaver)[-],[004CFF]KMZ 1P69 3-10倍瞄準鏡(Weaver)[-]
modscopeKMZ1p69WeaverDesc,重量：[4FBE28]0.940kg[-]\n\n兼容性：适用于大多数枪械,重量：[4FBE28]0.940kg[-]\n\n相容性：適用於大多數槍械
modscopeKMZ1p69Dovetail,[004CFF]KMZ 1P69 3-10倍瞄准镜(燕尾式)[-],[004CFF]KMZ 1P69 3-10倍瞄準鏡(燕尾式)[-]
modscopeKMZ1p69DovetailDesc,重量：[4FBE28]0.940kg[-]\n\n兼容性：适用于配有燕尾式导轨(一种旧式标准导轨，用于安装瞄准镜)的枪械,重量：[4FBE28]0.940kg[-]\n\n相容性：適用於配有燕尾式導軌(一種舊式標準導軌，用於安裝瞄準鏡)的槍械
modscopeG36HensoldtCarryHandle3x,[004CFF]HK G36 Hensoldt HKV 3倍提把瞄准镜[-],[004CFF]HK G36 Hensoldt HKV 3倍提把瞄準鏡[-]
modscopeG36HensoldtCarryHandle3xDesc,重量：[4FBE28]0.420kg[-]\n\n兼容性：G36,重量：[4FBE28]0.420kg[-]\n\n相容性：G36

modmagppsh41drum71,PPSh-41 71发装弹弹鼓,PPSh-41 71發裝彈彈鼓
modmagttcustomdrum75,TT-33 75发装弹弹鼓,TT-33 75發裝彈彈鼓
modmagpmmakeshiftdrum84,PB/PM 84发装弹弹鼓,PB/PM 84發裝彈彈鼓
modmagpp9extended30,PP-9 'Klin' 30发装弹弹匣,PP-9 'Klin' 30發裝彈彈匣
modmagpp9snaildrum90,PP-9 'Klin' 90发装弹弹鼓,PP-9 'Klin' 90發裝彈彈鼓
modmagpp19vityazdrum50,PP-19-01 50发装弹弹鼓,PP-19-01 50發裝彈彈鼓
modmagsr2mtape60,SR-2M 60发装弹弹匣(使用胶带并联),SR-2M 60發裝彈彈匣(使用膠帶並聯)
modmaguzi50std,UZI 50发装弹标准弹匣,UZI 50發裝彈標準彈匣
modmagmp5std30,MP5K 30发装弹标准弹匣,MP5K 30發裝彈標準彈匣
modmagmp5xproductdrum50,MP5 50发装弹弹鼓,MP5 50發裝彈彈鼓
modmagmp5Cmag100,MP5 C形弹匣 100发装弹,MP5 C形彈匣 100發裝彈
modmagmp9Cmag100,MP-9N/UZI C形弹匣 100发装弹,MP-9N/UZI C形彈匣 100發裝彈
modmagglock9x19bigstick33,Glock 9x19 33发装弹弹匣,Glock 9x19 33發裝彈彈匣
modmagglock9x19sgmtdrum50,Glock 9x19 50发装弹弹鼓,Glock 9x19 50發裝彈彈鼓
modmagglock9x19Cmag100,Glock 9x19 C形弹匣 100发装弹,Glock 9x19 C形彈匣 100發裝彈
modmagmpxbasepad41,SIG MPX 41发装弹弹匣,SIG MPX 41發裝彈彈匣
modmagmpxf5mfgdrum50,SIG MPX 50发装弹弹鼓,SIG MPX 50發裝彈彈鼓
modmagmpxCmag100,SIG MPX C形弹匣 100发装弹,SIG MPX C形彈匣 100發裝彈
modmagump45casket60,UMP 45 60发装弹双进弹匣,UMP 45 60發裝彈雙進彈匣
modmagump45customCmag100,UMP 45 C形弹匣 100发装弹,UMP 45 C形彈匣 100發裝彈
modmagthompsondrum100,Thompson 100发装弹弹鼓,Thompson 100發裝彈彈鼓
modmagglock45drum60,Vector 45 60发装弹弹鼓,Vector 45 60發裝彈彈鼓
modmagglock45Cmag100,Vector 45 C形弹匣 100发装弹,Vector 45 C形彈匣 100發裝彈
modmagmp7std40,MP7A1 40发装弹标准弹匣,MP7A1 40發裝彈標準彈匣
modmagmp7box70,MP7A1 120发装弹盒式弹匣,MP7A1 120發裝彈盒式彈匣
modmagP90ZakuPlate,P90 Zaku 100发装弹弹匣,P90 Zaku 100發裝彈彈匣
modmagP90ZakuDrumChopped,P90 Zaku 135发装弹弹鼓,P90 Zaku 135發裝彈彈鼓
modmagP90ZakuDrum,P90 Zaku 200发装弹弹鼓,P90 Zaku 200發裝彈彈鼓
modmagak74std30,AK-74 30发装弹标准弹匣,AK-74 30發裝彈標準彈匣
modmagAK74extended45,5.45×39 45发装弹弹匣,5.45×39 45發裝彈彈匣
modmagAK74_6L31_60,5.45×39 60发装弹弹匣,5.45×39 60發裝彈彈匣
modmagRPK16drum95,5.45×39 95发装弹弹鼓,5.45×39 95發裝彈彈鼓
modmagSKSextended35,SKS 35发装弹弹匣,SKS 35發裝彈彈匣
modmagSKSdrum75,SKS 75发装弹弹鼓,SKS 75發裝彈彈鼓
modmagakmstd30,AKMN 30发装弹标准弹匣,AKMN 30發裝彈標準彈匣
modmagAK762extended40,7.62×39 40发装弹弹匣,7.62×39 40發裝彈彈匣
modmagAK762molotdrum75,7.62×39 75发装弹弹鼓,7.62×39 75發裝彈彈鼓
modmagAK762steeldrum100,7.62×39 100发装弹弹鼓,7.62×39 100發裝彈彈鼓
modmag762x39RPDBox200,RPD 200发装弹盒式弹匣,RPD 200發裝彈盒式彈匣
modmag762NATOjunglefighter35,7.62×51 35发装弹弹匣,7.62×51 35發裝彈彈匣
modmagSA58FAL30,FN FAL 30发装弹标准弹匣,FN FAL 30發裝彈標準彈匣
modmagSA58FALXproduct50,FN FAL 50发装弹弹匣,FN FAL 50發裝彈彈匣
modmag762NATOM14xproduct50,M14 50发装弹弹匣,M14 50發裝彈彈匣
modmag762NATOX25drum50,7.62×51 50发装弹弹鼓,7.62×51 50發裝彈彈鼓
modmag762NATOCmag100,7.62×51 C形弹匣 100发装弹,7.62×51 C形彈匣 100發裝彈
modmagM60TriBoxWelded250,M60E6 250发装弹盒式弹匣(三盒焊接),M60E6 250發裝彈盒式彈匣(三盒焊接)
modmagSVDstd20,SVDS 'Dragunov' 20发装弹标准弹匣,SVDS 'Dragunov' 20發裝彈標準彈匣
modmagSVDmakeshiftdrum50,SVDS 'Dragunov' 50发装弹弹鼓,SVDS 'Dragunov' 50發裝彈彈鼓
modmag762x54RPKBox200,PKP Pecheneg 200发装弹盒式弹匣,PKP Pecheneg 200發裝彈盒式彈匣
modmagAUGextended42,AUG A3 42发装弹弹匣,AUG A3 42發裝彈彈匣
modmagAUGdrum60,AUG A3 60发装弹弹鼓,AUG A3 60發裝彈彈鼓
modmagstanagstd30,STANAG 30发装弹标准弹匣,STANAG 30發裝彈標準彈匣
modmagstanag556x45pmag40,5.56×45 & .300blk 40发装弹弹匣,5.56×45 & .300blk 40發裝彈彈匣
modmagstanag556x45pmagd60,5.56×45 & .300blk 60发装弹弹鼓,5.56×45 & .300blk 60發裝彈彈鼓
modmagstanag556x45sf60,5.56×45 & .300blk 60发装弹弹匣,5.56×45 & .300blk 60發裝彈彈匣
modmagstanag556x45sf100,5.56×45 & .300blk 100发装弹弹匣,5.56×45 & .300blk 100發裝彈彈匣
modmag556AKmolot45,Velociraptor 45发装弹弹匣,Velociraptor 45發裝彈彈匣
modmagvssval30,VSS/AS VAL 30发装弹弹匣,VSS/AS VAL 30發裝彈彈匣
modmagvssval45,VSS/AS VAL 40发装弹弹匣,VSS/AS VAL 40發裝彈彈匣
modmagAsh12extended40,ASh-12 40发装弹弹匣,ASh-12 40發裝彈彈匣
modmagAsh12extended60,ASh-12 60发装弹弹匣,ASh-12 60發裝彈彈匣
modmag338SwordMK18Pmag20,Mk-18 20发装弹弹匣,Mk-18 20發裝彈彈匣
modmag_870_remington_magazine_extension_12g_10,M870 11发装弹弹匣,M870 11發裝彈彈匣
modmag_m3_benelli_std_12g_7,M3 Benelli 8发装弹标准弹匣,M3 Benelli 8發裝彈標準彈匣
modmag_m3_tonisystem_magazine_extension_12g_13,M3 Benelli 14发装弹弹匣,M3 Benelli 14發裝彈彈匣
modmag_mr153_izhmeh_12g_8,MP-153 & MP-155 9发装弹弹匣,MP-153 & MP-155 9發裝彈彈匣
modmag_saiga12_maxrounds_powermag_20_12x76_20,Saiga-12K 20发装弹弹匣,Saiga-12K 20發裝彈彈匣
modmag_aa12_mps_aa12_drum_mag_12g_20,AA-12 20发装弹弹鼓,AA-12 20發裝彈彈鼓
modmag_aa12_drum_mag_12g_32,AA-12 32发装弹弹鼓,AA-12 32發裝彈彈鼓

modmagppsh41drum71Desc,重量：[4FBE28]0.900kg[-]\n装弹数：[4FBE28]71[-]\n更换弹匣时间：[FF4F33]+16%[-]\n\n相容性：PPSH-41,重量：[4FBE28]0.900kg[-]\n裝彈數：[4FBE28]71[-]\n更換彈匣時間：[FF4F33]+16%[-]\n\n相容性：PPSH-41
modmagttcustomdrum75Desc,重量：[4FBE28]0.750kg[-]\n装弹数：[4FBE28]75[-]\n更换弹匣时间：[FF4F33]+16%[-]\n\n相容性：TT-33,重量：[4FBE28]0.750kg[-]\n裝彈數：[4FBE28]75[-]\n更換彈匣時間：[FF4F33]+16%[-]\n\n相容性：TT-33
modmagpmmakeshiftdrum84Desc,重量：[4FBE28]0.364kg[-]\n装弹数：[4FBE28]84[-]\n更换弹匣时间：[FF4F33]+16%[-]\n\n相容性：PB, PM,重量：[4FBE28]0.364kg[-]\n裝彈數：[4FBE28]84[-]\n更換彈匣時間：[FF4F33]+16%[-]\n\n相容性：PB, PM
modmagpp9extended30Desc,重量：[4FBE28]0.128kg[-]\n装弹数：[4FBE28]30[-]\n\n相容性：PP-9 'Klin',重量：[4FBE28]0.128kg[-]\n裝彈數：[4FBE28]30[-]\n\n相容性：PP-9 'Klin'
modmagpp9snaildrum90Desc,重量：[4FBE28]0.471kg[-]\n装弹数：[4FBE28]90[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：PP-9 'Klin',重量：[4FBE28]0.471kg[-]\n裝彈數：[4FBE28]90[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：PP-9 'Klin'
modmagpp19vityazdrum50Desc,重量：[4FBE28]0.460kg[-]\n装弹数：[4FBE28]50[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：PP-19-01,重量：[4FBE28]0.460kg[-]\n裝彈數：[4FBE28]50[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：PP-19-01
modmagsr2mtape60Desc,重量：[4FBE28]0.323kg[-]\n装弹数：[4FBE28]60[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：SR-2M,重量：[4FBE28]0.323kg[-]\n裝彈數：[4FBE28]60[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：SR-2M
modmaguzi50stdDesc,重量：[4FBE28]0.300kg[-]\n装弹数：[4FBE28]50[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：UZI,重量：[4FBE28]0.300kg[-]\n裝彈數：[4FBE28]50[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：UZI
modmagmp5std30Desc,重量：[4FBE28]0.170kg[-]\n装弹数：[4FBE28]30[-]\n\n相容性：MP5K,重量：[4FBE28]0.170kg[-]\n裝彈數：[4FBE28]30[-]\n\n相容性：MP5K
modmagmp5xproductdrum50Desc,重量：[4FBE28]0.640kg[-]\n装弹数：[4FBE28]50[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：MP5K, MP5, MP5SD,重量：[4FBE28]0.640kg[-]\n裝彈數：[4FBE28]50[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：MP5K, MP5, MP5SD
modmagmp5Cmag100Desc,重量：[4FBE28]1.180kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：MP5, MP5SD\n需装备战术握把以安装在枪支上。,重量：[4FBE28]1.180kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：MP5, MP5SD\n需裝備戰術握把以安裝在槍枝上。
modmagmp9Cmag100Desc,重量：[4FBE28]1.180kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：MP-9N, UZI, UZI Pro SMG,重量：[4FBE28]1.180kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：MP-9N, UZI, UZI Pro SMG
modmagglock9x19bigstick33Desc,重量：[4FBE28]0.150kg[-]\n装弹数：[4FBE28]33[-]\n\n相容性：Glock 17, Glock 18C,重量：[4FBE28]0.150kg[-]\n裝彈數：[4FBE28]33[-]\n\n相容性：Glock 17, Glock 18C
modmagglock9x19sgmtdrum50Desc,重量：[4FBE28]0.600kg[-]\n装弹数：[4FBE28]50[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：Glock 17, Glock 18C, Vector 9, STM-9,重量：[4FBE28]0.600kg[-]\n裝彈數：[4FBE28]50[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：Glock 17, Glock 18C, Vector 9, STM-9
modmagglock9x19Cmag100Desc,重量：[4FBE28]1.100kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：Glock 17, Glock 18C, Vector 9, STM-9,重量：[4FBE28]1.100kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：Glock 17, Glock 18C, Vector 9, STM-9
modmagmpxbasepad41Desc,重量：[4FBE28]0.300kg[-]\n装弹数：[4FBE28]41[-]\n\n相容性：SIG MPX,重量：[4FBE28]0.300kg[-]\n裝彈數：[4FBE28]41[-]\n\n相容性：SIG MPX
modmagmpxf5mfgdrum50Desc,重量：[4FBE28]0.650kg[-]\n装弹数：[4FBE28]50[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：SIG MPX,重量：[4FBE28]0.650kg[-]\n裝彈數：[4FBE28]50[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：SIG MPX
modmagmpxCmag100Desc,重量：[4FBE28]1.250kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：SIG MPX,重量：[4FBE28]1.250kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：SIG MPX
modmagump45casket60Desc,重量：[4FBE28]0.800kg[-]\n装弹数：[4FBE28]60[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：UMP 45,重量：[4FBE28]0.800kg[-]\n裝彈數：[4FBE28]60[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：UMP 45
modmagump45customCmag100Desc,重量：[4FBE28]1.270kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：UMP 45,重量：[4FBE28]1.270kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：UMP 45
modmagthompsondrum100Desc,重量：[4FBE28]1.950kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：Thompson,重量：[4FBE28]1.950kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：Thompson
modmagglock45drum60Desc,重量：[4FBE28]0.750kg[-]\n装弹数：[4FBE28]60[-]\n更换弹匣时间：[FF4F33]+10%[-]\n\n相容性：Vector 45,重量：[4FBE28]0.750kg[-]\n裝彈數：[4FBE28]60[-]\n更換彈匣時間：[FF4F33]+10%[-]\n\n相容性：Vector 45
modmagglock45Cmag100Desc,重量：[4FBE28]1.200kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：Vector 45,重量：[4FBE28]1.200kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：Vector 45
modmagmp7std40Desc,重量：[4FBE28]0.200kg[-]\n装弹数：[4FBE28]40[-]\n\n相容性：MP7A1,重量：[4FBE28]0.200kg[-]\n裝彈數：[4FBE28]40[-]\n\n相容性：MP7A1
modmagmp7box70Desc,重量：[4FBE28]0.580kg[-]\n装弹数：[4FBE28]120[-]\n更换弹匣时间：[FF4F33]+16%[-]\n\n相容性：MP7A1,重量：[4FBE28]0.580kg[-]\n裝彈數：[4FBE28]120[-]\n更換彈匣時間：[FF4F33]+16%[-]\n\n相容性：MP7A1
modmagP90ZakuPlateDesc,重量：[4FBE28]0.600kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：P90,重量：[4FBE28]0.600kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：P90
modmagP90ZakuDrumChoppedDesc,重量：[4FBE28]0.666kg[-]\n装弹数：[4FBE28]135[-]\n更换弹匣时间：[FF4F33]+22%[-]\n\n相容性：P90,重量：[4FBE28]0.666kg[-]\n裝彈數：[4FBE28]135[-]\n更換彈匣時間：[FF4F33]+22%[-]\n\n相容性：P90
modmagP90ZakuDrumDesc,重量：[4FBE28]1.200kg[-]\n装弹数：[4FBE28]200[-]\n更换弹匣时间：[FF4F33]+25%[-]\n\n相容性：P90,重量：[4FBE28]1.200kg[-]\n裝彈數：[4FBE28]200[-]\n更換彈匣時間：[FF4F33]+25%[-]\n\n相容性：P90
modmagak74std30Desc,重量：[4FBE28]0.215kg[-]\n装弹数：[4FBE28]30[-]\n\n相容性：AKS-74UN、AK-74N,重量：[4FBE28]0.215kg[-]\n裝彈數：[4FBE28]30[-]\n\n相容性：AKS-74UN、AK-74N
modmagAK74extended45Desc,重量：[4FBE28]0.300kg[-]\n装弹数：[4FBE28]45[-]\n更换弹匣时间：[FF4F33]+16%[-]\n\n相容性：以下口径的枪械：5.45×39,重量：[4FBE28]0.300kg[-]\n裝彈數：[4FBE28]45[-]\n更換彈匣時間：[FF4F33]+16%[-]\n\n相容性：下列口徑的槍械：5.45×39
modmagAK74_6L31_60Desc,重量：[4FBE28]0.400kg[-]\n装弹数：[4FBE28]60[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：以下口径的枪械：5.45×39,重量：[4FBE28]0.400kg[-]\n裝彈數：[4FBE28]60[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：下列口徑的槍械：5.45×39
modmagRPK16drum95Desc,重量：[4FBE28]0.680kg[-]\n装弹数：[4FBE28]95[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：以下口径的枪械：5.45×39,重量：[4FBE28]0.680kg[-]\n裝彈數：[4FBE28]95[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：下列口徑的槍械：5.45×39
modmagSKSextended35Desc,重量：[4FBE28]0.185kg[-]\n装弹数：[4FBE28]35[-]\n\n相容性：SKS,重量：[4FBE28]0.185kg[-]\n裝彈數：[4FBE28]35[-]\n\n相容性：SKS
modmagSKSdrum75Desc,重量：[4FBE28]1.043kg[-]\n装弹数：[4FBE28]75[-]\n\n相容性：SKS,重量：[4FBE28]1.043kg[-]\n裝彈數：[4FBE28]75[-]\n\n相容性：SKS
modmagakmstd30Desc,重量：[4FBE28]0.370kg[-]\n装弹数：[4FBE28]30[-]\n\n相容性：AKMN,重量：[4FBE28]0.370kg[-]\n裝彈數：[4FBE28]30[-]\n\n相容性：AKMN
modmagAK762extended40Desc,重量：[4FBE28]0.460kg[-]\n装弹数：[4FBE28]40[-]\n更换弹匣时间：[FF4F33]+16%[-]\n\n相容性：以下口径的枪械：7.62×39,重量：[4FBE28]0.460kg[-]\n裝彈數：[4FBE28]40[-]\n更換彈匣時間：[FF4F33]+16%[-]\n\n相容性：下列口徑的槍械：7.62×39
modmagAK762molotdrum75Desc,重量：[4FBE28]0.900kg[-]\n装弹数：[4FBE28]75[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：以下口径的枪械：7.62×39,重量：[4FBE28]0.900kg[-]\n裝彈數：[4FBE28]75[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：下列口徑的槍械：7.62×39
modmagAK762steeldrum100Desc,重量：[4FBE28]1.364kg[-]\n装弹数：[4FBE28]100[-]\n更换弹匣时间：[FF4F33]+20%[-]\n\n相容性：以下口径的枪械：7.62×39,重量：[4FBE28]1.364kg[-]\n裝彈數：[4FBE28]100[-]\n更換彈匣時間：[FF4F33]+20%[-]\n\n相容性：下列口徑的槍械：7.62×39
modmag762x39RPDBox200Desc,重量：[4FBE28]1.600kg[-]\n装弹数：[4FBE28]200[-]\n更换弹匣时间：[FF4F33]+25%[-]\n\n相容性：RPD,重量：[4FBE28]1.600kg[-]\n裝彈數：[4FBE28]200[-]\n更換彈匣時間：[FF4F33]+25%[-]\n\n相容性：RPD
modmag762NATOjunglefighter35Desc,重量：[4FBE28]0.444kg[-]\n装弹数：[4FBE28]35[-]\n更换弹匣时间：[FF4F33]+12%[-]\n\n相容性：SR-25, RSASS, G28, MDR 7.62, HK417,重量：[4FBE28]0.444kg[-]\n裝彈數：[4FBE28]35[-]\n更換彈匣時間：[FF4F33]+12%[-]\n\n相容性：SR-25, RSASS, G28, MDR 7.62, HK417
modmagSA58FAL30Desc,重量：[4FBE28]0.460kg[-]\n装弹数：[4FBE28]30[-]\n\n相容性：FN FAL, RFB,重量：[4FBE28]0.460kg[-]\n裝彈數：[4FBE28]30[-]\n\n相容性：FN FAL, RFB
